Key SUBDESC:PERMITFLAG value: ('Bank', 'NNNY'),  mean time (days): 91.0412371134,  stddev (days): 94.3506224063, number of entries: 97
Key SUBDESC:PERMITFLAG value: ('Duplex', 'YNNN'),  mean time (days): 37.2784958872,  stddev (days): 64.1503839471, number of entries: 851
Key SUBDESC:PERMITFLAG value: ('Duplex', 'YYNN'),  mean time (days): 85.0833333333,  stddev (days): 164.052512783, number of entries: 48
Key SUBDESC:PERMITFLAG value: ('Church', 'NYYN'),  mean time (days): 413.666666667,  stddev (days): 406.207254161, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Repair Garage', 'YYYN'),  mean time (days): 77.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Temporary Use', 'YNNY'),  mean time (days): 93.0,  stddev (days): 80.3112002705, number of entries: 19
Key SUBDESC:PERMITFLAG value: ('Duplex', 'NYYN'),  mean time (days): 70.3076923077,  stddev (days): 101.053108657, number of entries: 13
Key SUBDESC:PERMITFLAG value: ('Multiple Use', 'NYNN'),  mean time (days): 305.166666667,  stddev (days): 232.066147832, number of entries: 12
Key SUBDESC:PERMITFLAG value: ('Mixed Use', 'YYNY'),  mean time (days): 226.0,  stddev (days): 262.552851822, number of entries: 7
Key SUBDESC:PERMITFLAG value: ('Theater', 'YYNN'),  mean time (days): 51.3333333333,  stddev (days): 49.0340018083, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Townhouse', 'YNYN'),  mean time (days): 83.0,  stddev (days): 22.627416998, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('Single Family', 'YYYN'),  mean time (days): 111.297029703,  stddev (days): 158.238335719, number of entries: 101
Key SUBDESC:PERMITFLAG value: ('Store', 'NNNY'),  mean time (days): 134.529411765,  stddev (days): 152.206322818, number of entries: 17
Key SUBDESC:PERMITFLAG value: ('Service Station', 'NYNY'),  mean time (days): 163.333333333,  stddev (days): 182.284027459, number of entries: 6
Key SUBDESC:PERMITFLAG value: ('Church', 'YNNY'),  mean time (days): 234.413793103,  stddev (days): 217.954536092, number of entries: 29
Key SUBDESC:PERMITFLAG value: ('Duplex', 'YYYN'),  mean time (days): 212.0,  stddev (days): 250.843244544, number of entries: 7
Key SUBDESC:PERMITFLAG value: ('Warehouse/Storage', 'YYNY'),  mean time (days): 190.95,  stddev (days): 211.03940141, number of entries: 20
Key SUBDESC:PERMITFLAG value: ('Recreation Building', 'YYYY'),  mean time (days): 250.666666667,  stddev (days): 205.852602893, number of entries: 18
Key SUBDESC:PERMITFLAG value: ('School/Daycare', 'YNNY'),  mean time (days): 143.0,  stddev (days): 138.953229541, number of entries: 23
Key SUBDESC:PERMITFLAG value: ('Bowling Alley', 'YYYY'),  mean time (days): 64.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Temporary Use', 'YYNN'),  mean time (days): 11.0,  stddev (days): 4.24264068712, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('Manufacturing', 'YNNY'),  mean time (days): 158.730769231,  stddev (days): 174.668979886, number of entries: 130
Key SUBDESC:PERMITFLAG value: ('Bank', 'YNNY'),  mean time (days): 133.471698113,  stddev (days): 161.452136724, number of entries: 53
Key SUBDESC:PERMITFLAG value: ('Residential Care', 'YYNN'),  mean time (days): 47.8333333333,  stddev (days): 54.145790849, number of entries: 6
Key SUBDESC:PERMITFLAG value: ('Medical/Dental Clinic', 'NNNN'),  mean time (days): 1676.33333333,  stddev (days): 2497.72423084, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Multiple Use', 'YNNY'),  mean time (days): 215.0,  stddev (days): nan, number of entries: 1
